FoldablePackagePolicy,2021121601,,
232,com.squareenix.dxm,displayCompat,b
233,com.lm.powersecurity,displayCompat,b
234,com.coffeestainstudios.goatsimulatortnb,displayCompat,b
235,jbl.stc.com,displayCompat,b
236,kidgames.dino.coloring,displayCompat,b
237,com.hg.cloudsandsheeptnb,displayCompat,b
238,com.pastagames.ro1mobiletnb,displayCompat,b
239,com.dotemu.raidenlegacy,displayCompat,b
240,com.hg.cyberlordstnb,displayCompat,b
241,com.headupgames.bridgeconstructorplaygroundtnb,displayCompat,b
242,com.dotemu.rtype2,displayCompat,b
243,com.hg.aotlpremiumtnb,displayCompat,b
244,kidgames.cars.coloring,displayCompat,b
245,uk.co.yakuto.TableTennisTouch.samsungtnb,displayCompat,b
246,com.yippee.chimpactrun.ppd,displayCompat,b
247,com.onecwireless.mahjongvillage.samsung.free,displayCompat,b
248,com.sky.funnyfruitsplash,displayCompat,b
249,bubbleshooter.orig,displayCompat,b
250,com.screeclibinvoke,displayCompat,b
251,com.webank.wemoney,displayCompat,b
252,com.knowbox.rc.student.pk,displayCompat,b
253,com.oupeng.mini.android,displayCompat,b
254,org.xianliao,displayCompat,b
255,com.cqmc.client,displayCompat,b
256,com.sunboxsoft.oilforgdandroid,displayCompat,b
257,Bing.com,displayCompat,b
258,jp.naver.linecamera.android,displayCompat,b
259,me.mycake,displayCompat,b
260,com.headupgames.shinyxtnb,displayCompat,b
261,com.sandboxol.indiegame.eggwars,displayCompat,b
262,com.funnyplaygames.extrememotocross.stuntbikes,displayCompat,b
263,com.postmates.android,displayCompat,b
264,com.bnp21.dutyfree24_test,displayCompat,b
265,kr.co.ichallenge.hobi,displayCompat,b
266,com.rak,displayCompat,b
267,com.dib.app,displayCompat,b
268,com.mourjan.classifieds,displayCompat,b
269,com.uae.ncms,displayCompat,b
270,com.pic.mycamera,displayCompat,b
271,com.wolfgangknecht.scribbleracer2.samsung,displayCompat,b
272,kidgames.abc.pack,displayCompat,b
273,kr.co.kbsmc.kbsmcmainapp,displayCompat,b
274,com.joycity.samuraim,displayCompat,b
275,com.vehicles.activities,displayCompat,b
276,com.bilibili.app.in,displayCompat,b
277,com.thecarousell.Carousell,displayCompat,b
278,com.noknok.mart,displayCompat,b
279,com.gamepub.yt.t,displayCompat,b
280,com.gamepub.yt.g,displayCompat,b
281,ndoors.google.sampoom_google_3g_ver2,displayCompat,b
282,org.prowl.torque,displayCompat,b
283,com.pic.pipcamera,displayCompat,b
284,com.jnhstudio.tbs_AndroidApp,displayCompat,b
285,com.wsl.noom,displayCompat,b
286,com_ansangha.degomoku,displayCompat,b
287,com.mobilityware.solitaire,displayCompat,b
288,com.catlab.cooking,displayCompat,b
289,com.aligames.sgzhg.samsung,displayCompat,b
290,com.cyjh.gundam,displayCompat,b
291,Kal.FlightInfo,displayCompat,b
292,com.aastocks.dzh,displayCompat,b
293,com.Classting,displayCompat,b
294,com.goldenkeysolutions.sim4gviettelapp2,displayCompat,b
295,kr.co.manhole.hujicam,displayCompat,b
296,com.perfectwin.highschool.crush.makeup.dressup.first.love.kiss,displayCompat,b
297,com.thedubaimall,displayCompat,b
298,com.fireplusteam.stickjump,displayCompat,b
299,com.tweensoft.speedybird,displayCompat,b
300,com.elevenbitstudios.SleepwalkersJourneyHDCleantnb,displayCompat,b
301,com.elevenbitstudios.twommobiletnb,displayCompat,b
302,com.mobisoft.socialninja,displayCompat,b
303,com.appxy.tinyscan,displayCompat,b
