FoldablePackagePolicy,2021121601,,
50006,org.zwanoo.android.speedtest,ignoreAppRotation,
50007,com.fitbit.FitbitMobile,ignoreAppRotation,
50008,com.blockchainvault,ignoreAppRotation,
50009,com.shopify.arrive,ignoreAppRotation,
50010,com.grabtaxi.passenger,ignoreAppRotation,
50011,com.bitstrips.imoji,ignoreAppRotation,
50012,com.lemon.lvoverseas,ignoreAppRotation,
50013,kr.co.quicket,ignoreAppRotation,
50014,net.bucketplace,ignoreAppRotation,
50015,com.tmon,ignoreAppRotation,
50016,com.kebhana.hanapush,ignoreAppRotation,
50017,gsshop.mobile.v2,ignoreAppRotation,
50018,com.dunamu.stockplus,ignoreAppRotation,
50019,kr.backpackr.me.idus,ignoreAppRotation,
50020,com.cultsotry.yanolja.nativeapp,ignoreAppRotation,
50021,com.croquis.zigzag,ignoreAppRotation,
50022,com.everytime.v2,ignoreAppRotation,
50023,com.fineapp.yogiyo,ignoreAppRotation,
50024,nh.smart.nhcok,ignoreAppRotation,
50025,com.starbucks.co,ignoreAppRotation,
50026,com.lottemembers.android,ignoreAppRotation,
50027,com.chbreeze.jikbang4a,ignoreAppRotation,
50028,com.hmallapp,ignoreAppRotation,
50029,kr.co.ssg,ignoreAppRotation,
50030,com.omnitel.android.lottewebview,ignoreAppRotation,
50031,com.korail.talk,ignoreAppRotation,
50032,com.musinsa.store,ignoreAppRotation,
50033,com.nexon.nxplay,ignoreAppRotation,
50034,com.hnsmall,ignoreAppRotation,
50035,com.encar.encarMobileApp,ignoreAppRotation,
50036,co.spoonme,ignoreAppRotation,
50037,com.kscc.scxb.mbl,ignoreAppRotation,
50038,com.ebay.kr.auction,ignoreAppRotation,
50039,com.dho.mobilefax,ignoreAppRotation,
50040,com.iscreammedia.app.hiclass.android,ignoreAppRotation,
50041,com.cgv.android.movieapp,ignoreAppRotation,
50042,com.hogangnono.hogangnono,ignoreAppRotation,
50043,com.velox.hkmc_tm1k,ignoreAppRotation,
50044,com.samsung.familynetmall,ignoreAppRotation,
50045,com.monpub.namuwiki,ignoreAppRotation,
50046,com.golfzon.android.GDR,ignoreAppRotation,
50047,com.koreanair.passenger,ignoreAppRotation,
50048,com.ssm.asiana,ignoreAppRotation,
50049,com.roborock.smart,ignoreAppRotation,
50050,com.hcom.android,ignoreAppRotation,
50051,com.towneers.www,ignoreAppRotation,
50052,com.moonactive.coinmaster,ignoreAppRotation,
50053,com.activision.callofduty.shooter,ignoreAppRotation,
50054,com.neowiz.games.newmatgo,ignoreAppRotation,
50055,com.tinder,ignoreAppRotation,
50056,com.grindrapp.android,ignoreAppRotation,
50057,com.badoo.mobile,ignoreAppRotation,
50058,com.kiloo.subwaysurf,ignoreAppRotation,
50059,com.dreamgames.royalmatch,ignoreAppRotation,
50060,com.picsart.studio,ignoreAppRotation,
50061,com.binance.dev,ignoreAppRotation,
50062,com.pixel.art.coloring.color.number,ignoreAppRotation,
50063,com.topgamesinc.evony,ignoreAppRotation,
50064,easy.sudoku.puzzle.solver.free,ignoreAppRotation,
50065,puzzle.blockpuzzle.cube.relax,ignoreAppRotation,
50066,com.peoplefun.wordcross,ignoreAppRotation,
50067,com.imo.android.imoim,ignoreAppRotation,
50068,net.peakgames.toonblast,ignoreAppRotation,
50069,com.easybrain.block.puzzle.games,ignoreAppRotation,
50070,com.elex.twdsaw.gp,ignoreAppRotation,
50071,com.gma.water.sort.puzzle,ignoreAppRotation,
50072,com.os.airforce,ignoreAppRotation,
50073,com.higgs.tilemaster3d,ignoreAppRotation,
50074,net.peakgames.amy,ignoreAppRotation,
50075,com.funtomic.matchmasters,ignoreAppRotation,
50076,com.coupang.mobile.eats,ignoreAppRotation,
50077,com.strava,ignoreAppRotation,
50078,com.outfit7.mytalkingtom2,ignoreAppRotation,
50079,com.nflystudio.InfiniteStaircase,ignoreAppRotation,
50080,com.hm.goe,ignoreAppRotation,
50081,tile.master.connect.matching.game,ignoreAppRotation,
50082,com.starmakerinteractive.starmaker,ignoreAppRotation,
50083,freeplay.crowdrun.com,ignoreAppRotation,
50084,com.candywriter.bitlife,ignoreAppRotation,
50085,com.alien.shooter.galaxy.attack,ignoreAppRotation,
50086,com.tfgco.games.sports.free.tennis.clash,ignoreAppRotation,
50087,com.europosit.pixelcoloring,ignoreAppRotation,
50088,com.outfit7.mytalkingangela2,ignoreAppRotation,
50089,com.sports.real.golf.rival.online,ignoreAppRotation,
50090,co.hinge.app,ignoreAppRotation,
50091,com.habby.archero,ignoreAppRotation,
50092,free.tube.premium.advanced.tuber,ignoreAppRotation,
50093,im.thebot.messenger,ignoreAppRotation,
50094,net.zedge.android,ignoreAppRotation,
50095,com.global.ztmslg,ignoreAppRotation,
50096,com.mattel163.phase10,ignoreAppRotation,
50097,com.swm.live,ignoreAppRotation,
50098,com.linecorp.b612.android,ignoreAppRotation,
50099,com.bricksbreaker.balls.crusher.bricks,ignoreAppRotation,
50100,sinet.startup.inDriver,ignoreAppRotation,
50101,com.jellybtn.boardkings,ignoreAppRotation,
50102,com.lumber.inc,ignoreAppRotation,
50103,com.Upperpik.HairChallenge,ignoreAppRotation,
50104,com.zynga.pottermatch,ignoreAppRotation,
50105,com.smule.singandroid,ignoreAppRotation,
50106,app.zenly.locator,ignoreAppRotation,
50107,video.like,ignoreAppRotation,
50108,com.garmin.android.apps.connectmobile,ignoreAppRotation,
50109,com.google.android.apps.youtube.creator,ignoreAppRotation,
50110,com.coinbase.android,ignoreAppRotation,
50111,io.state.fight,ignoreAppRotation,
50112,com.ea.game.simcitymobile_row,ignoreAppRotation,
50113,com.zynga.words3,ignoreAppRotation,
50114,com.crowdstar.covetHome,ignoreAppRotation,
50115,com.myntra.android,ignoreAppRotation,
50116,com.youmusic.magictiles,ignoreAppRotation,
50117,co.mona.android,ignoreAppRotation,
50118,com.moonfrog.ludo.club,ignoreAppRotation,
50119,me.lyft.android,ignoreAppRotation,
50120,video.reface.app,ignoreAppRotation,
50121,com.fluffyfairygames.idleminertycoon,ignoreAppRotation,
50122,com.starbucks.mobilecard,ignoreAppRotation,
50123,com.auxbrain.egginc,ignoreAppRotation,
50124,com.star.union.planetant,ignoreAppRotation,
50125,fi.reworks.redecor,ignoreAppRotation,
50126,com.outfit7.talkingtomgoldrun,ignoreAppRotation,
50127,com.addictive.strategy.army,ignoreAppRotation,
50128,com.game.space.shooter2,ignoreAppRotation,
50129,com.expedia.bookings,ignoreAppRotation,
50130,com.miniclip.footballstrike,ignoreAppRotation,
50131,com.yottagames.gameofmafia,ignoreAppRotation,
50132,com.dywx.larkplayer,ignoreAppRotation,
50133,com.bandainamcoent.dblegends_ww,ignoreAppRotation,
50134,com.mars.avgchapters,ignoreAppRotation,
50135,com.Garawell.BridgeRace,ignoreAppRotation,
50136,com.nike.omega,ignoreAppRotation,
50137,com.redcell.goldandgoblins,ignoreAppRotation,
50138,com.quvideo.xiaoying,ignoreAppRotation,
50139,com.outfit7.herodash,ignoreAppRotation,
50140,com.zing.zalo,ignoreAppRotation,
50141,com.my.defense,ignoreAppRotation,
50142,com.igg.android.dressuptimeprincess,ignoreAppRotation,
50143,com.camerasideas.trimmer,ignoreAppRotation,
50144,com.dorotheebrondes.bounceandcollect,ignoreAppRotation,
50145,com.superbox.aos.fire2048,ignoreAppRotation,
50146,com.dreame.reader,ignoreAppRotation,
50147,io.faceapp,ignoreAppRotation,
50148,com.ftw_and_co.happn,ignoreAppRotation,
50149,com.azure.authenticator,ignoreAppRotation,
50150,com.playdemic.golf.android,ignoreAppRotation,
50151,com.loop.matchtile3d,ignoreAppRotation,
50152,com.mercariapp.mercari,ignoreAppRotation,
50153,com.Lightneer.BazookaBoy,ignoreAppRotation,
50154,com.pronetis.ironball2,ignoreAppRotation,
50155,musicplayer.musicapps.music.mp3player,ignoreAppRotation,
50156,com.huawei.health,ignoreAppRotation,
50157,com.FidgetTrading3D.game,ignoreAppRotation,
50158,in.swiggy.android,ignoreAppRotation,
50159,com.outfit7.mytalkingangelafree,ignoreAppRotation,
50160,sort.water.puzzle.pour.color.tubes.sorting.game,ignoreAppRotation,
50161,com.azarlive.android,ignoreAppRotation,
50162,com.coupang.mobile.eats.courier,ignoreAppRotation,
50163,com.percent.royaldice,ignoreAppRotation,
50164,games.onebutton.golfbattle,ignoreAppRotation,
50165,com.os.falcon.fnf.battle.friday.night.funkin,ignoreAppRotation,
50166,com.glovo,ignoreAppRotation,
50167,sudoku.puzzle.free.game.brain,ignoreAppRotation,
50168,com.FollowCircles.TradingMaster,ignoreAppRotation,
50169,fr.gouv.android.stopcovid,ignoreAppRotation,
50170,com.immediasemi.android.blink,ignoreAppRotation,
50171,com.amanotes.beathopper,ignoreAppRotation,
50172,com.fanatee.cody,ignoreAppRotation,
50173,com.tranzmate,ignoreAppRotation,
50174,com.tetrox.bowl,ignoreAppRotation,
50175,com.smallgiantgames.empires,ignoreAppRotation,
50176,com.scopely.yux,ignoreAppRotation,
50177,com.talabat,ignoreAppRotation,
50178,com.king.crash,ignoreAppRotation,
50179,com.gma.water.connect.puzzle,ignoreAppRotation,
50180,com.btckorea.bithumb,ignoreAppRotation,
50181,com.vincentb.MobControl,ignoreAppRotation,
50182,com.joom,ignoreAppRotation,
50183,com.apple.movetoios,ignoreAppRotation,
50184,com.root.clean.boost.explorer.filemanager,ignoreAppRotation,
50185,com.skout.android,ignoreAppRotation,
50186,com.gamebility.onet,ignoreAppRotation,
50187,com.rollic.tanglemaster3D,ignoreAppRotation,
50188,com.woowahan.bros,ignoreAppRotation,
50189,com.tplink.iot,ignoreAppRotation,
50190,grit.storytel.app,ignoreAppRotation,
50191,com.cleanteam.onesecurity,ignoreAppRotation,
50192,com.imgur.mobile,ignoreAppRotation,
50193,com.ezviz,ignoreAppRotation,
50194,com.picadilla.beepbeepvroom,ignoreAppRotation,
50195,games.noho.gungang,ignoreAppRotation,
50196,es.socialpoint.wordlife,ignoreAppRotation,
50197,com.playgendary.tom,ignoreAppRotation,
50198,com.vrbo.android,ignoreAppRotation,
50199,com.catwalk.fashion.star,ignoreAppRotation,
50200,com.ludia.jw2,ignoreAppRotation,
50201,com.camelgames.aoz,ignoreAppRotation,
50202,photo.editor.photoeditor.photoeditorpro,ignoreAppRotation,
50203,coloring.color.number.happy.paint.art.drawing.puzzle,ignoreAppRotation,
50204,com.interfocusllc.patpat,ignoreAppRotation,
50205,com.puzzle1studio.go.bubblepoporiginpuzzlegame,ignoreAppRotation,
50206,com.hualai,ignoreAppRotation,
50207,com.chickfila.cfaflagship,ignoreAppRotation,
50208,com.joycity.gw,ignoreAppRotation,
50209,com.ktb.customer.qr,ignoreAppRotation,
50210,com.mind.quiz.brain.out,ignoreAppRotation,
50211,sa.gov.nic.tawakkalna,ignoreAppRotation,
50212,com.adidas.app,ignoreAppRotation,
50213,com.quora.android,ignoreAppRotation,
50214,com.lean.sehhaty,ignoreAppRotation,
50215,gogolook.callgogolook2,ignoreAppRotation,
50216,com.maroieqrwlk.unpin,ignoreAppRotation,
50217,com.lszenlamzr.parkingjam,ignoreAppRotation,
50218,com.mobirix.swipebrick2,ignoreAppRotation,
50219,com.anotherplaceproductions.fat2fit,ignoreAppRotation,
50220,com.global.ztmslgkr,ignoreAppRotation,
50221,com.cdgames.fidget3d,ignoreAppRotation,
50222,com.plato.android,ignoreAppRotation,
50223,com.hutchgames.formularacing,ignoreAppRotation,
50224,com.rescue.agent,ignoreAppRotation,
50225,com.ohmgames.richtopoor,ignoreAppRotation,
50226,tr.com.apps.fashion.battle,ignoreAppRotation,
50227,com.app.tgtg,ignoreAppRotation,
50228,com.dancing.smash.hop.game.tiles.circles.beat.paino,ignoreAppRotation,
50229,com.everbytestudio.interactive.text.chat.story.rpg.cyoa.duskwood,ignoreAppRotation,
50230,com.handmark.expressweather,ignoreAppRotation,
50231,com.alightcreative.motion,ignoreAppRotation,
50232,com.dunkinbrands.otgo,ignoreAppRotation,
50233,com.ryanair.cheapflights,ignoreAppRotation,
50234,com.cassette.aquapark,ignoreAppRotation,
50235,cc.lionstudios.mergelife,ignoreAppRotation,
50236,com.stealthgame.master,ignoreAppRotation,
50237,com.thecarousell.Carousell,ignoreAppRotation,
50238,com.netmarble.nanagb,ignoreAppRotation,
50239,com.seenax.HideAndSeek,ignoreAppRotation,
50240,smart.tv.wifi.remote.control.samcontrol,ignoreAppRotation,
50241,com.costco.app.android,ignoreAppRotation,
50242,com.wallapop,ignoreAppRotation,
50243,com.boundless.jawaker,ignoreAppRotation,
50244,com.ea.games.simsfreeplay_row,ignoreAppRotation,
50245,com.vova.android,ignoreAppRotation,
50246,com.littleengine.wordpal,ignoreAppRotation,
50247,com.easybrain.find.the.difference,ignoreAppRotation,
50248,com.yahoo.mobile.client.android.yahoo,ignoreAppRotation,
50249,com.imvu.mobilecordova,ignoreAppRotation,
50250,com.tummygames.sliceit,ignoreAppRotation,
50251,com.emagroups.cs,ignoreAppRotation,
50252,com.playstrom.bob,ignoreAppRotation,
50253,com.trivia.star.android,ignoreAppRotation,
50254,de.stocard.stocard,ignoreAppRotation,
50255,com.braindom2riddle,ignoreAppRotation,
50256,com.microblink.photomath,ignoreAppRotation,
50257,com.bigduckgames.flow,ignoreAppRotation,
50258,sixpack.sixpackabs.absworkout,ignoreAppRotation,
50259,com.gma.ball.sort.color.water.puzzle,ignoreAppRotation,
50260,com.tencent.wesing,ignoreAppRotation,
50261,com.youdao.hindict,ignoreAppRotation,
50262,com.sega.sonicdash,ignoreAppRotation,
50263,com.unicostudio.braintest,ignoreAppRotation,
50264,com.kongregate.mobile.adventurecapitalist.google,ignoreAppRotation,
50265,com.duosecurity.duomobile,ignoreAppRotation,
50266,com.bitsmedia.android.muslimpro,ignoreAppRotation,
50267,com.qidian.Int.reader,ignoreAppRotation,
50268,com.dhgate.buyermob,ignoreAppRotation,
50269,de.hafas.android.db,ignoreAppRotation,
50270,com.kohls.mcommerce.opal,ignoreAppRotation,
50271,com.read.goodnovel,ignoreAppRotation,
50272,com.azurgames.stackball,ignoreAppRotation,
50273,com.thetrainline,ignoreAppRotation,
50274,com.sdpgames.sculptpeople,ignoreAppRotation,
50275,com.cvs.launchers.cvs,ignoreAppRotation,
50276,com.macys.android,ignoreAppRotation,
50277,com.kayac.ball_run,ignoreAppRotation,
50278,com.freeplay.runandfight,ignoreAppRotation,
50279,com.asiainno.uplive,ignoreAppRotation,
50280,com.ovelin.guitartuna,ignoreAppRotation,
50281,com.luutinhit.ioslauncher,ignoreAppRotation,
50282,ir.remote.smg.tv,ignoreAppRotation,
50283,com.feofun.elementalmaster,ignoreAppRotation,
50284,com.crazylabs.tie.dye.art,ignoreAppRotation,
50285,com.merkuryinnovations.geeni,ignoreAppRotation,
50286,com.iherb,ignoreAppRotation,
50287,th.in.robinhood,ignoreAppRotation,
50288,com.kadka.forknsausage,ignoreAppRotation,
50289,com.vod.vodcy,ignoreAppRotation,
50290,com.huya.nimo,ignoreAppRotation,
50291,com.block.game.jigsaw.puzzles,ignoreAppRotation,
50292,com.aynovel.vixs,ignoreAppRotation,
50293,merge.villa,ignoreAppRotation,
50294,com.nagastudio.giant.monster.run,ignoreAppRotation,
50295,com.disney.emojimatch_goo,ignoreAppRotation,
50296,free.vpn.unblock.proxy.turbovpn,ignoreAppRotation,
50297,com.game.foldpuzzle,ignoreAppRotation,
50298,com.iscoolentertainment.snc,ignoreAppRotation,
50299,com.KaueRosa.CityTakeover,ignoreAppRotation,
50300,com.Sarepta.MyChild,ignoreAppRotation,
50301,com.tangramgames.gourddoll.wordcrush,ignoreAppRotation,
50302,com.base.jump.gliding,ignoreAppRotation,
50303,com.fidgettrading.game,ignoreAppRotation,
50304,com.sadpuppy.lemmings,ignoreAppRotation,
50305,linkdesks.pop.bubblegames.bubbleshooter,ignoreAppRotation,
50306,com.saiyun.avgchapters.episodestories.romance,ignoreAppRotation,
50307,com.yodo1.rodeo.safari,ignoreAppRotation,
50308,vn.vtv.vtvgo,ignoreAppRotation,
50309,de.autodoc.gmbh,ignoreAppRotation,
50310,com.firstscreen.weather,ignoreAppRotation,
50311,com.oculus.twilight,ignoreAppRotation,
50312,com.gamma.scan,ignoreAppRotation,
50313,com.meesho.supply,ignoreAppRotation,
50314,com.p1.mobile.putong,ignoreAppRotation,
50315,com.ultimateguitar.tabs,ignoreAppRotation,
50316,com.hellofresh.androidapp,ignoreAppRotation,
50317,com.braindom,ignoreAppRotation,
50318,com.muscle.rush,ignoreAppRotation,
50319,com.gear2.growslayer,ignoreAppRotation,
50320,com.yorfstudio.sea,ignoreAppRotation,
50321,com.codigames.idle.prison.empire.manager.tycoon,ignoreAppRotation,
50322,com.cardinalblue.piccollage.google,ignoreAppRotation,
50323,com.JindoBlu.Antistress,ignoreAppRotation,
50324,com.blued.international,ignoreAppRotation,
50325,com.os.space.force.galaxy.alien,ignoreAppRotation,
50326,com.getsomeheadspace.android,ignoreAppRotation,
50327,com.tarekmongy.RunofLife,ignoreAppRotation,
50328,com.melodis.midomiMusicIdentifier.freemium,ignoreAppRotation,
50329,cn.danatech.xingseus,ignoreAppRotation,
50330,com.runtastic.android,ignoreAppRotation,
50331,com.huami.watch.hmwatchmanager,ignoreAppRotation,
50332,com.bigwinepot.nwdn.international,ignoreAppRotation,
50333,works.jubilee.timetree,ignoreAppRotation,
50334,com.playstrom.dop2,ignoreAppRotation,
50335,com.blueflamingo.herolab,ignoreAppRotation,
50336,com.BallGames.Woodturning,ignoreAppRotation,
50337,com.c6bank.app,ignoreAppRotation,
50338,com.Born2Play.StackyDash,ignoreAppRotation,
50339,my.gov.onegovappstore.mysejahtera,ignoreAppRotation,
50340,co.brainly,ignoreAppRotation,
50341,com.mambet.tv,ignoreAppRotation,
50342,com.lihuhu.woodblockmerger,ignoreAppRotation,
50343,com.lbe.parallel.intl,ignoreAppRotation,
50344,com.gjg.colorfill3d,ignoreAppRotation,
50345,com.unicostudio.braintest2new,ignoreAppRotation,
50346,com.glu.baseball21,ignoreAppRotation,
50347,cn.xender,ignoreAppRotation,
50348,co.happybits.marcopolo,ignoreAppRotation,
50349,com.colobolo.chainball,ignoreAppRotation,
50350,com.womboai.wombo,ignoreAppRotation,
50351,com.audiomack,ignoreAppRotation,
50352,au.gov.vic.service.digitalwallet.citizen,ignoreAppRotation,
50353,com.sushirolls.app,ignoreAppRotation,
50354,com.bitmango.go.bubblepop,ignoreAppRotation,
50355,com.ss.android.ugc.trill,ignoreAppRotation,
50356,com.coupang.mobile,ignoreAppRotation,
50357,com.sampleapp,ignoreAppRotation,
50358,com.nhn.android.webtoon,ignoreAppRotation,
50359,com.samsungpop.android.mpop,ignoreAppRotation,
50360,com.kakao.page,ignoreAppRotation,
50361,viva.republica.toss,ignoreAppRotation,
50362,com.cashwalk.cashwalk,ignoreAppRotation,
50363,com.kakaobank.channel,ignoreAppRotation,
50364,com.linkzen.app,ignoreAppRotation,
50365,com.shinhan.sbanking,ignoreAppRotation,
50366,com.banhala.android,ignoreAppRotation,
50367,com.wemakeprice,ignoreAppRotation,
50368,com.cjoshppingphone,ignoreAppRotation,
50369,com.dbs.kurly.m2,ignoreAppRotation,
50370,com.wordpuzzle.kr,ignoreAppRotation,
50371,kr.goodchoice.abouthere,ignoreAppRotation,
50372,com.wooribank.smart.npib,ignoreAppRotation,
50373,kr.co.samsungcard.mpocket,ignoreAppRotation,
50374,com.sundaytoz.kakao.anipang4,ignoreAppRotation,
50375,com.nexon.fo4m,ignoreAppRotation,
50376,com.hyundaicard.appcard,ignoreAppRotation,
50377,com.lotte,ignoreAppRotation,
50378,com.naver.vapp,ignoreAppRotation,
50379,com.sopt.mafia42.client,ignoreAppRotation,
50380,kr.co.emart.emartmall,ignoreAppRotation,
50381,com.ibk.android.ionebank,ignoreAppRotation,
50382,com.lcacApp,ignoreAppRotation,
50383,nh.smart.allonebank,ignoreAppRotation,
50384,me.chatie,ignoreAppRotation,
50385,kr.co.alba.webappalba.m,ignoreAppRotation,
50386,com.timespread.Timetable2,ignoreAppRotation,
50387,net.daum.android.webtoon,ignoreAppRotation,
50388,com.homeplus.myhomeplus,ignoreAppRotation,
50389,kr.co.hanamembers.hmscustomer,ignoreAppRotation,
50390,com.teamblind.blind,ignoreAppRotation,
50391,show.grip,ignoreAppRotation,
50392,com.wooricard.smartapp,ignoreAppRotation,
50393,com.uplus.baseballhdtv,ignoreAppRotation,
50394,gg.op.lol.android,ignoreAppRotation,
50395,kr.co.sincetimes.gxhgnew,ignoreAppRotation,
50396,kr.co.station3.dabang,ignoreAppRotation,
50397,com.nhn.android.navertv,ignoreAppRotation,
50398,com.kbcard.kat.liivmate,ignoreAppRotation,
50399,com.jobkorea.app,ignoreAppRotation,
50400,com.kakaogames.friendsKing,ignoreAppRotation,
50401,com.xmobile.wowradio,ignoreAppRotation,
50402,kr.co.kbs.kplayer,ignoreAppRotation,
50403,com.golfzon.android,ignoreAppRotation,
50404,com.hpapp,ignoreAppRotation,
50405,com.social.media.pop.g,ignoreAppRotation,
50406,com.nhn.android.calendar,ignoreAppRotation,
50407,com.vaultmicro.kidsnote,ignoreAppRotation,
50408,com.jinsit.safepass,ignoreAppRotation,
50409,kvp.jjy.MispAndroid320,ignoreAppRotation,
50410,coinone.co.kr.official,ignoreAppRotation,
50411,kr.co.spotvnow.app,ignoreAppRotation,
50412,com.kakao.music,ignoreAppRotation,
50413,com.cowon.dragonrajaEX,ignoreAppRotation,
50414,kr.co.koreastock.mts.android,ignoreAppRotation,
50415,gov.gyeonggi.ggcard,ignoreAppRotation,
50416,com.bizplay.bizzeropay,ignoreAppRotation,
50417,com.squareup.cash,ignoreAppRotation,
50418,com.ubercab.eats,ignoreAppRotation,
50419,com.ubercab.driver,ignoreAppRotation,
50420,com.ringapp,ignoreAppRotation,
50421,com.robinhood.android,ignoreAppRotation,
50422,com.target.ui,ignoreAppRotation,
50423,com.bumble.app,ignoreAppRotation,
50424,com.mcdonalds.app,ignoreAppRotation,
50425,com.pof.android,ignoreAppRotation,
50426,com.poshmark.app,ignoreAppRotation,
50427,com.grubhub.android,ignoreAppRotation,
50428,com.thehomedepot,ignoreAppRotation,
50429,com.instacart.shopper,ignoreAppRotation,
50430,com.dominospizza,ignoreAppRotation,
50431,com.kroger.mobile,ignoreAppRotation,
50432,tv.fubo.mobile,ignoreAppRotation,
50433,com.att.myWireless,ignoreAppRotation,
50434,com.home.emoticon.emoji,ignoreAppRotation,
50435,com.callapp.contacts,ignoreAppRotation,
50436,com.yum.pizzahut,ignoreAppRotation,
50437,com.postmates.android,ignoreAppRotation,
50438,com.papaya.solitairecash,ignoreAppRotation,
50439,com.home.bible.verse.prayer,ignoreAppRotation,
50440,com.sonic.sonicdrivein,ignoreAppRotation,
50441,com.tmobile.tuesdays,ignoreAppRotation,
50442,com.bleacherreport.android.teamstream,ignoreAppRotation,
50443,com.emn8.mobilem8.nativeapp.bk,ignoreAppRotation,
50444,com.vivint.vivintsky,ignoreAppRotation,
50445,com.usbank.mobilebanking,ignoreAppRotation,
50446,com.americanexpress.android.acctsvcs.us,ignoreAppRotation,
50447,com.chewy.android,ignoreAppRotation,
50448,com.disney.wdw.android,ignoreAppRotation,
50449,com.chamberlain.android.liftmaster.myq,ignoreAppRotation,
50450,com.brighthouse.mybhn,ignoreAppRotation,
50451,com.hilton.android.hhonors,ignoreAppRotation,
50452,com.staplegames.blocksSudokuSGGP,ignoreAppRotation,
50453,com.aol.mobile.aolapp,ignoreAppRotation,
50454,com.match.android.matchmobile,ignoreAppRotation,
50455,com.weatherport.android,ignoreAppRotation,
50456,com.grubhub.driver,ignoreAppRotation,
50457,com.affinityapps.blk,ignoreAppRotation,
50458,com.subway.mobile.subwayapp03,ignoreAppRotation,
50459,com.dxm.nopuzzle,ignoreAppRotation,
50460,com.tmobile.pr.mytmobile,ignoreAppRotation,
50461,com.touchtunes.android,ignoreAppRotation,
50462,com.scopely.wheeloffortune,ignoreAppRotation,
50463,com.mint,ignoreAppRotation,
50464,com.hopper.mountainview.play,ignoreAppRotation,
50465,com.planetfitness,ignoreAppRotation,
50466,sp0n.citizen,ignoreAppRotation,
50467,com.pnc.ecommerce.mobile,ignoreAppRotation,
50468,com.stash.stashinvest,ignoreAppRotation,
50469,sh.whisper,ignoreAppRotation,
50470,com.papajohns.android,ignoreAppRotation,
50471,com.wendys.nutritiontool,ignoreAppRotation,
50472,com.bbumgames.spadesroyale,ignoreAppRotation,
50473,com.relayrides.android.relayrides,ignoreAppRotation,
50474,com.weightwatchers.mobile,ignoreAppRotation,
50475,com.psafe.msuite,ignoreAppRotation,
50476,com.phonevalley.progressive,ignoreAppRotation,
50477,com.priceline.android.negotiator,ignoreAppRotation,
50478,com.quadpay.quadpay,ignoreAppRotation,
50479,com.google.android.apps.nbu.paisa.user,ignoreAppRotation,
50480,com.rumble.battles,ignoreAppRotation,
50481,com.global.dzgqq.google,ignoreAppRotation,
50482,com.amc,ignoreAppRotation,
50483,com.upside.consumer.android,ignoreAppRotation,
50484,com.littlecaesars,ignoreAppRotation,
50485,com.chipotle.ordering,ignoreAppRotation,
50486,com.fitnow.loseit,ignoreAppRotation,
50487,com.yahoo.mobile.client.android.fantasyfootball,ignoreAppRotation,
50488,com.exoticmatch.game,ignoreAppRotation,
50489,com.acorns.android,ignoreAppRotation,
50490,com.patreon.android,ignoreAppRotation,
50491,com.cars.android,ignoreAppRotation,
50492,com.binance.us,ignoreAppRotation,
50493,com.player.ootvo,ignoreAppRotation,
50494,com.panera.bread,ignoreAppRotation,
50495,com.heb.myheb,ignoreAppRotation,
50496,com.sgn.pandapop.gp,ignoreAppRotation,
50497,ai.replika.app,ignoreAppRotation,
50498,com.playstudios.myvegas.bingo,ignoreAppRotation,
50499,com.opera.app.news.us,ignoreAppRotation,
50500,com.schibsted.bomnegocio.androidApp,ignoreAppRotation,
50501,com.nu.production,ignoreAppRotation,
50502,br.com.gabba.Caixa,ignoreAppRotation,
50503,com.b2w.americanas,ignoreAppRotation,
50504,com.picpay,ignoreAppRotation,
50505,com.mercadopago.wallet,ignoreAppRotation,
50506,br.com.dafiti,ignoreAppRotation,
50507,br.com.lojasrenner,ignoreAppRotation,
50508,com.intelbras.isiclite,ignoreAppRotation,
50509,br.com.enjoei.app,ignoreAppRotation,
50510,br.com.mobits.cartolafc,ignoreAppRotation,
50511,com.hotmart.sparkle,ignoreAppRotation,
50512,br.com.netshoes.app,ignoreAppRotation,
50513,com.facily,ignoreAppRotation,
50514,br.com.serasaexperian.consumidor,ignoreAppRotation,
50515,br.com.xp.carteira,ignoreAppRotation,
50516,br.com.bancopan.cartoes,ignoreAppRotation,
50517,br.com.telecineplay.android,ignoreAppRotation,
50518,br.com.sbf.centauro,ignoreAppRotation,
50519,com.mcdo.mcdonalds,ignoreAppRotation,
50520,br.com.uol.batepapo,ignoreAppRotation,
50521,br.com.portoseguro.experienciacliente.mundoporto,ignoreAppRotation,
50522,br.gov.datasus.cnsdigital,ignoreAppRotation,
50523,com.iqoption,ignoreAppRotation,
50524,br.com.bradesco.netempresa,ignoreAppRotation,
50525,br.com.nutror.app,ignoreAppRotation,
50526,com.scores365,ignoreAppRotation,
50527,br.com.neon,ignoreAppRotation,
50528,br.com.marisa.android,ignoreAppRotation,
50529,com.zoom.zoomandroid,ignoreAppRotation,
50530,br.com.zattini,ignoreAppRotation,
50531,com.globo.ge.app,ignoreAppRotation,
50532,br.com.paodeacucarmais,ignoreAppRotation,
50533,br.com.sicredimobi.smart,ignoreAppRotation,
50534,br.com.carrefour.cartaocarrefour,ignoreAppRotation,
50535,com.vanuatu.aiqfome,ignoreAppRotation,
50536,com.credicard.app,ignoreAppRotation,
50537,com.novapontocom.extra,ignoreAppRotation,
50538,br.com.quintoandar.inquilinos,ignoreAppRotation,
